MedCodeId,OriginalReadCode,Term,Observations,SnomedCTConceptId
3128017#,M0071,Carbuncle of heel,135,1197005#
31909010#,M007,Carbuncle of foot,91,18929007#
87382016#,M0072,Carbuncle of toe,69,52508001#
286570019#,A3A0F,Gas gangrene-foot,127,186423003#
308232013#,M0070,Carbuncle of foot unspecified,13,18929007#
308233015#,M007z,Carbuncle of foot NOS,4,18929007#
308256012#,M0170,Boil of foot unspecified,50,44361004#
308257015#,M017z,Boil of foot NOS,95,44361004#
308285018#,M0213,Pulp space infection of toe,758,200641008#
309177010#,M2710,Ischaemic ulcer diabetic foot,17574,201250006#
309180011#,M2712,Mixed diabetic ulcer - foot,29077,201252003#
311463014#,N2210,Infected bunion,22068,202928001#
311809017#,N300U,Acute osteomyelitis-calcaneum,710,203174008#
311810010#,N300V,Acute osteomyelitis-talus,31,203175009#
311811014#,N300W,Acute osteomyelitis of foot,1554,240142002#
311812019#,N300X,Acute osteomyelitis-metatarsal,753,203177001#
311813012#,N300Y,Acute osteomyelitis-phalanx of toe,3000,203178006#
311883018#,N302U,Infection of calcaneum,199,203235009#
311884012#,N302V,Infection of talus,11,203236005#
311886014#,N302X,Infection of metatarsal,114,203238006#
311887017#,N302Y,Infection of phalanx of toe,779,203239003#
322634018#,SD710,"Abrasion of foot, infected",2629,211406001#
322635017#,SD711,"Abrasion of toe, infected",5635,211407005#
322636016#,SD71z,"Abrasion and/or friction burn of foot and/or toe, infected",212,269202001#
359767013#,N3007-2,Foot - acute osteomyelitis,2460,240142002#
359772016#,N3017-2,Foot - chronic osteomyelitis,1014,240147008#
402993019#,SD71,"Abrasion or friction burn of foot and toe, infected",516,269202001#
405854015#,SD730,"Blister of foot, infected",14821,271191007#
405855019#,SD731,"Blister of toe, infected",4050,271192000#
411429011#,SD73-1,"Blister of heel, infected",2316,275444001#
440973016#,M07z1,Infection toe,156726,299989006#
440974010#,M07z0,Infection foot,68859,299990002#
443199013#,G733,Ischaemic foot,15459,301755001#
498448012#,M2717,Neuropathic foot ulcer,9808,59483006#
512081010#,M271-1,Foot ulcer,344054,95345008#
1228365016#,M0171,Boil of heel,252,36175004#
1234087016#,M0172,Boil of toe,396,77265008#
438311000006110#,SD71-1,"Abrasion or friction burn of heel, infected",439,269202001#
438451000006116#,SD71-2,"Abrasion or friction burn of toenail, infected",2544,211407005#
516121000006116#,SD73,"Traumatic blister of foot, infected",9795,271191007#
519591000006118#,M017,Boil of foot,1633,44361004#
779881000006110#,M07yz-1,Infection toe,358936,299989006#
780401000006116#,M07yz-2,Infection foot,46597,299990002#
888931000006117#,M017-99,Boil - foot,193,44361004#
2509811000006112#,^ESCTAB250981,Abrasion and/or friction burn of toe with infection,1,714002#
3082951000006117#,^ESCTFU308295,Furuncle of heel,3,36175004#
3214681000006118#,^ESCTFU321468,Furuncle of foot,54,44361004#
3466131000006115#,^ESCTPE346613,Perforating ulcer of the foot,1442,59483006#
3756511000006116#,^ESCTFU375651,Furuncle of toe,10,77265008#
3777891000006112#,^ESCTBL377789,Blister of foot with infection,1,78561001#
4055181000006114#,^ESCTUL405518,Ulcer of foot,6756,95345008#
4741891000006116#,^ESCTGA474189,Gas gangrene of foot,1,186423003#
4807571000006117#,^ESCTIS480757,Ischemic ulcer diabetic foot,1,201250006#
4818711000006118#,^ESCTAC481871,Acute osteomyelitis of calcaneum,12,203174008#
4818751000006117#,^ESCTAC481875,Acute osteomyelitis of metatarsal,4,203177001#
4818771000006110#,^ESCTAC481877,Acute osteomyelitis of phalanx of toe,13,203178006#
5121241000006114#,^ESCTIN512124,Infection of toe web,31,238409008#
5126451000006116#,^ESCTIS512645,Ischaemic foot ulcer,625,238794007#
5126461000006119#,^ESCTIS512646,Ischemic foot ulcer,2,238794007#
