MedCodeId	Term	Observations_jun24	old_2021	new_2024
841011000006112	Severe nonproliferative diabetic retinopathy	1685	1	1
14077711000006111	Severe nonproliferative retinopathy due to diabetes mellitus	102	0	1
6022651000006113	Severe nonproliferative retinopathy	19	1	1
6630851000006115	Very severe nonproliferative diabetic retinopathy	12	1	1
12085251000006113	Severe nonproliferative diabetic retinopathy of right eye	11	1	1
12224761000006115	Severe NPDR (nonproliferative diabetic retinopathy)	5	1	1
12085291000006119	Severe nonproliferative diabetic retinopathy of left eye	5	1	1
6630751000006114	Severe nonproliferative diabetic retinopathy with no macular oedema	2	1	1
6630721000006117	Severe nonproliferative diabetic retinopathy with clinically significant macular oedema	1	1	1
12085281000006117	Severe NPDR (nonproliferative diabetic retinopathy) of right eye	1	1	1
12085271000006115	Severe nonproliferative retinopathy of right eye due to diabetes mellitus	1	1	1
12085351000006119	Very severe nonproliferative diabetic retinopathy of right eye	1	1	1
12085411000006113	Very severe NPDR (nonproliferative diabetic retinopathy) of left eye	1	1	1
13965721000006114	Severe nonproliferative diabetic retinopathy with venous beading	1	0	1
12224751000006117	Severe nonproliferative retinopathy co-occurrent and due to diabetes mellitus	NA	1	0
6022661000006110	Severe NPDR	NA	1	0
6630551000006117	Very severe NPDR with no macular edema	NA	1	0
6630541000006119	Very severe NPDR with no macular oedema	NA	1	0
6630521000006114	Very severe nonproliferative diabetic retinopathy with no macular oedema	NA	1	0
12300361000006111	Very severe NPDR (nonproliferative diabetic retinopathy) with no macular oedema	NA	1	0
6630531000006112	Very severe nonproliferative diabetic retinopathy with no macular edema	NA	1	0
12300341000006112	Very severe nonproliferative retinopathy without macular edema co-occurrent and due to diabetes mellitus	NA	1	0
12300371000006116	Very severe NPDR (nonproliferative diabetic retinopathy) with no macular edema	NA	1	0
12300351000006114	Very severe nonproliferative retinopathy without macular oedema co-occurrent and due to diabetes mellitus	NA	1	0
12300421000006111	Severe nonproliferative retinopathy with clinically significant macular edema co-occurrent and due to diabetes mellitus	NA	1	0
6630731000006119	Severe nonproliferative diabetic retinopathy with clinically significant macular edema	NA	1	0
12300441000006116	Severe NPDR (nonproliferative diabetic retinopathy) with CSME (clinically significant macular edema)	NA	1	0
12300451000006119	Severe NPDR (nonproliferative diabetic retinopathy) with CSME (clinically significant macular oedema)	NA	1	0
6630741000006112	Severe NPDR with CSME	NA	1	0
12300431000006114	Severe nonproliferative retinopathy with clinically significant macular oedema co-occurrent and due to diabetes mellitus	NA	1	0
12300481000006110	Severe NPDR (nonproliferative diabetic retinopathy) with no macular oedema	NA	1	0
6630771000006116	Severe NPDR with no macular oedema	NA	1	0
12300491000006113	Severe NPDR (nonproliferative diabetic retinopathy) with no macular edema	NA	1	0
12300471000006112	Severe nonproliferative retinopathy without macular oedema co-occurrent and due to diabetes mellitus	NA	1	0
12300461000006117	Severe nonproliferative retinopathy without macular edema co-occurrent and due to diabetes mellitus	NA	1	0
6630781000006118	Severe NPDR with no macular edema	NA	1	0
6630761000006111	Severe nonproliferative diabetic retinopathy with no macular edema	NA	1	0
